,Publisher,Content,Publisher,Content,Jaccard Similarity,Duplicate Type
0,adn,Kamerlid Pieter Omtzigt wil niet terug naar werkweken van meer dan 70 uur,bddenbosch,Kamerlid Pieter Omtzigt wil niet terug naar werkweken van meer dan 70 uur,1.0,perfect duplicate
1,adn,"Pieter Omtzigt is al meer dan honderd dagen thuis, in Enschede. Met een burn-out. Over een week keert hij terug in de Tweede Kamer, waar hij de afgelopen maanden de meest besproken man was. Hij moest op zijn tong bijten, om maar niet te reageren. Dit is zijn verhaal.",bddenbosch,"Pieter Omtzigt is al meer dan honderd dagen thuis, in Enschede. Met een burn-out. Over een week keert hij terug in de Tweede Kamer, waar hij de afgelopen maanden de meest besproken man was. Hij moest op zijn tong bijten, om maar niet te reageren. Dit is zijn verhaal.",1.0,perfect duplicate
2,adn,'Ik heb lang tegen mijn besluit aangehikt',bddenbosch,'Ik heb lang tegen mijn besluit aangehikt',1.0,perfect duplicate
3,adn,"De bospaden en parken rondom zijn huis kent Pieter Omtzigt inmiddels als zijn broekzak. Tijdens een wandeling deze maandagmiddag wijst hij op landgoed Hof Espelo naar typisch Twentse beelden. Hier vond hij de afgelopen maanden rust. Hij liep er kilometers, om zijn hoofd leeg te maken. Vaak na zonsondergang, in het donker. Even geen mensen die informeren hoe het met hem gaat, hoe goedbedoeld ook.",bddenbosch,"De bospaden en parken rondom zijn huis kent Pieter Omtzigt inmiddels als zijn broekzak. Tijdens een wandeling deze maandagmiddag wijst hij op landgoed Hof Espelo naar typisch Twentse beelden. Hier vond hij de afgelopen maanden rust. Hij liep er kilometers, om zijn hoofd leeg te maken. Vaak na zonsondergang, in het donker. Even geen mensen die informeren hoe het met hem gaat, hoe goedbedoeld ook.",1.0,perfect duplicate
4,adn,"Maandenlang hield de politicus zich stil. Hij zette alleen een enkele keer een statement op Twitter. Nu doet hij zijn verhaal met de Twentse krant Tubantia. In de eetkamer, thuis in Enschede. Met zijn vrouw in de buurt die aan de andere kant van de gang in haar eigen kantoor aan het werk is, en de kinderen die zich in de keuken klaarmaken voor een nieuwe schooldag.",bddenbosch,"Maandenlang hield de politicus zich stil. Hij zette alleen een enkele keer een statement op Twitter. Nu doet hij zijn verhaal met de Twentse krant Tubantia. In de eetkamer, thuis in Enschede. Met zijn vrouw in de buurt die aan de andere kant van de gang in haar eigen kantoor aan het werk is, en de kinderen die zich in de keuken klaarmaken voor een nieuwe schooldag.",1.0,perfect duplicate
5,adn,"Op 15 september keert hij terug als Tweede Kamerlid. Niet meer voor zijn oude partij, het CDA, maar als Groep Omtzigt.",bddenbosch,"Op 15 september keert hij terug als Tweede Kamerlid. Niet meer voor zijn oude partij, het CDA, maar als Groep Omtzigt.",1.0,perfect duplicate
6,adn,Hoe gaat het met u?,bddenbosch,Hoe gaat het met u?,1.0,perfect duplicate
7,adn,Hoe gaat het met u?,ttenschede,Hoe gaat het met u?,1.0,perfect duplicate
8,adn,"""Een stuk beter. Ik kijk ernaar uit om aan het werk te gaan, weer in debat te gaan en mensen te spreken. Ik zie een beetje op tegen de media-aandacht. Ik ben nog niet 100 procent hersteld. In een normale baan zou je eens rustig met halve dagen beginnen. Maar ja, in de Tweede Kamer is het alles of niks. Maar verwacht even niet de 70 uur per week die ik voor die tijd maakte en ik ben ook voornemens om dat niet meer zo te doen. Ik heb vrij strakke afspraken met mijn omgeving gemaakt om me daar aan te houden.''",bddenbosch,"""Een stuk beter. Ik kijk ernaar uit om aan het werk te gaan, weer in debat te gaan en mensen te spreken. Ik zie een beetje op tegen de media-aandacht. Ik ben nog niet 100 procent hersteld. In een normale baan zou je eens rustig met halve dagen beginnen. Maar ja, in de Tweede Kamer is het alles of niks. Maar verwacht even niet de 70 uur per week die ik voor die tijd maakte en ik ben ook voornemens om dat niet meer zo te doen. Ik heb vrij strakke afspraken met mijn omgeving gemaakt om me daar aan te houden.''",1.0,perfect duplicate
9,adn,"U was de afgelopen maanden ziek thuis, maar ondertussen was u de meest besproken man op het Binnenhof. Hoe heeft u dat beleefd?",bddenbosch,"U was de afgelopen maanden ziek thuis, maar ondertussen was u de meest besproken man op het Binnenhof. Hoe heeft u dat beleefd?",1.0,perfect duplicate
10,adn,"""Het was ideaal geweest als ik even helemaal 'uit' had gekund. Maar aan het begin lukte dat niet. Er zijn toen een aantal debatten geweest in de Tweede Kamer die over mij gingen.''",bddenbosch,"""Het was ideaal geweest als ik even helemaal 'uit' had gekund. Maar aan het begin lukte dat niet. Er zijn toen een aantal debatten geweest in de Tweede Kamer die over mij gingen.''",1.0,perfect duplicate
11,adn,Heeft u naar die debatten gekeken?,bddenbosch,Heeft u naar die debatten gekeken?,1.0,perfect duplicate
12,adn,Heeft u naar die debatten gekeken?,ttenschede,Heeft u naar die debatten gekeken?,1.0,perfect duplicate
13,adn,"""Ja. Ik weet niet of dat het verstandigste was. Ik werd er niet rustiger van, zal ik maar zeggen. Wat wel heel erg hielp, was dat ontzettend veel mensen hun steun lieten blijken, met bloemen en kaarten, hartverwarmende reacties.''",bddenbosch,"""Ja. Ik weet niet of dat het verstandigste was. Ik werd er niet rustiger van, zal ik maar zeggen. Wat wel heel erg hielp, was dat ontzettend veel mensen hun steun lieten blijken, met bloemen en kaarten, hartverwarmende reacties.''",1.0,perfect duplicate
14,adn,Heeft u overwogen om toch te reageren?,bddenbosch,Heeft u overwogen om toch te reageren?,1.0,perfect duplicate
